鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),臺北市中正區羅斯福路二段121~150號,3.16,其他,,,1081124,土地1建物1車位0,十一層,十五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0921203,46.56,1,1,1,有,有,11000000,236254,,0.0,0,,RPXNMLOLKIOFFAA28CA
中正區,房地(土地+建物),臺北市中正區水源路33巷1~30號,22.66,住,,,1081123,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,40.75,2,1,1,有,無,8740000,214479,,0.0,0,含增建或未登記建物。;,RPPOMLOLKIOFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段243巷1弄1~30號,29.26,住,,,1081128,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810704,117.97,3,2,2,有,有,12000000,101721,坡道平面,0.0,0,,RPSNMLPLKIOFFAA87CA
文山區,房地(土地+建物),臺北市文山區興隆路一段181~210號,31.36,住,,,1081130,土地1建物1車位0,陽台，三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,83.7,5,5,5,有,無,11800000,140980,,0.0,0,,RPSOMLQLKIOFFAA08CA
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷121~150號,192.54,住,,,1081120,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0821206,247.59,5,2,5,有,有,25800000,104205,,0.0,0,含增建或未登記建物。;,RPXOMLQLKIOFFAA58CA
文山區,房地(土地+建物),臺北市文山區興德路30巷1~30號,26.81,商,,,1081213,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690513,86.49,3,3,3,有,無,8950000,103480,,0.0,0,,RPUNMLRLKIOFFAA28CA
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路七段1~30號,33.8,住,,,1081111,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080508,253.11,4,2,2,有,有,37050000,177313,坡道平面,70.1,4600000,,RPVOMLQJJHPFFAA08CA
文山區,車位,臺北市文山區政大二街260巷31~60號,0.87,住,,,1081126,土地0建物0車位1,二層,五層,其他,住家用,鋼筋混凝土造,0990730,43.99,0,0,0,有,有,2600000,,坡道平面,42.89,2600000,,RPXNMLRKJHPFFAA38CA
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段142巷61~90號,48.92,住,,,1081004,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081016,222.88,4,2,2,有,有,55000000,273564,坡道機械,31.7,2700000,本交易含露臺。,RPROMLRKJHPFFAA87CA
