鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
土城區,房地(土地+建物),新北市土城區延和路211~240號,20.58,住,,,1081123,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830617,120.92999999999999,2,2,1,有,有,11300000,93442,,0.0,0,含增建或未登記建物。;,RPQNMLOLKIOFFAF08CA
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,2.01,住,,,1081123,土地1建物1車位0,九層,四十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,40.86,0,1,1,有,有,8800000,215370,,0.0,0,含增建或未登記建物。;,RPSNMLOLKIOFFAF28CA
板橋區,房地(土地+建物)+車位,新北市板橋區吳鳳路50巷61~90號,13.74,住,,,1081121,土地1建物1車位1,二層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060725,126.43,2,2,2,有,有,21480000,169896,坡道機械,22.06,0,,RPVNMLOLKIOFFAF58CA
板橋區,房地(土地+建物),新北市板橋區南雅西路二段168巷1~30號,29.0,住,,,1081118,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661014,73.77,3,1,1,有,無,4050000,54900,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLOLKIOFFAF68CA
板橋區,房地(土地+建物),新北市板橋區國光路49巷1~30號,36.32,住,,,1081013,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840323,196.95000000000002,4,2,2,有,有,22000000,111703,,0.0,0,含增建或未登記建物。;,RPOOMLOLKIOFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區北門街1~30號,15.73,商,,,1081109,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071015,244.70000000000002,3,2,2,有,有,30560000,170760,坡道平面,89.16,4000000,土地交易款價含車位：1798萬元建物交易款價含車位：1258萬元,RPRPMLOLKIOFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,39.19,住,,,1080920,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,214.19,4,1,2,有,有,18360000,91812,坡道平面,34.91,1900000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.土地及建物分次登記案件3.本車位土地價款新台幣壹佰壹拾肆萬元整,車位建物價款新台幣柒拾陸萬元整含5%加值型營業稅4.建物價款含5%加值型營業稅",RPROMLPLKIOFFAF38CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,37.88,住,,,1080610,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,207.97,4,1,2,有,有,18200000,93609,坡道平面,34.91,2000000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.土地及建物分次登記案件3.本車位土地價款新台幣壹佰貳拾萬元整,車位建物價款新台幣捌拾萬元整含5%加值型營業稅4.建物價款含5%加值型營業稅",RPSOMLPLKIOFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,38.24,住,,,1080618,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,209.48000000000002,4,1,2,有,有,18660000,96007,坡道平面,34.91,1900000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.土地及建物分次登記案件3.本車位土地價款新台幣壹佰壹拾肆萬元整,車位建物價款新台幣柒拾陸萬元整含5%加值型營業稅4.建物價款含5%加值型營業稅",RPTOMLPLKIOFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區僑中一街80巷1~30號,38.24,住,,,1080824,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080212,209.48000000000002,4,1,2,有,有,18500000,95091,坡道平面,34.91,1900000,"1.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊係由不動產經紀業或權利人自行提供屬實2.土地及建物分次登記案件3.本車位土地價款新台幣壹佰壹拾肆萬元整,車位建物價款新台幣柒拾陸萬元整含5%加值型營業稅4.建物價款含5%加值型營業稅",RPUOMLPLKIOFFAF68CA
