鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段241~270號,35.34,住,,,1081211,土地1建物1車位1,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991104.0,178.69,3,2,2,有,有,25037000,140114.0,坡道平面,0.0,0,向政府機關承購之案件。,RPRPMLKLJHPFFAA37CA
萬華區,房地(土地+建物)+車位,臺北市萬華區西藏路91~120號,40.54,住,,,1081213,土地2建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000908.0,190.14,3,2,2,有,有,28018888,147359.0,坡道平面,0.0,0,向政府機關承購之案件。;土地及建物分次登記案件。前案土地登記收件字號：;,RPTNMLNJJHPFFBA57CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段411巷61~90號,95.96,住,,,1081029,土地2建物1車位6,二十八層,28.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1051026.0,688.8599999999999,0,0,0,無,有,220000000,382484.0,坡道平面,152.9,15000000,地下停車位6位及全體區分所有權人共用4位,RPQNMLSLKIOFFCA18CA
中山區,房地(土地+建物)+車位,臺北市中山區敬業三路177巷1~30號,96.39,住,,,1081116,土地1建物1車位2,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980824.0,463.07,4,2,4,有,有,151500000,327164.0,坡道平面,74.92,0,含增建或未登記建物。;,RPQNMLLKJHPFFCA27CA
松山區,車位,臺北市松山區南京東路四段1~30號,0.11,商,,,1081207,土地0建物0車位1,一層,15.0,其他,住家用,鋼筋混凝土造,971205.0,1.54,0,0,0,有,有,1360000,,塔式車位,0.0,1360000,,RPUOMLPLKIOFFDA48CA
南港區,房地(土地+建物)+車位,臺北市南港區經貿二路157巷36弄91~120號,46.1,住,,,1081129,土地1建物1車位1,五層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306.0,275.22,3,2,2,有,有,57500000,208924.0,坡道平面,0.0,2200000,,RPPNMLRLKIOFFDA08CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1080913,土地2建物1車位2,十四層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730.0,283.48,3,2,2,有,無,67360000,292165.0,坡道平面,76.2,6800000,,RPPQMLOLKIOFFEA18CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,17.52,住,,,1050915,土地2建物1車位1,六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730.0,198.13,3,2,2,有,無,46100000,271199.0,坡道平面,38.1,2700000,"1.本案為預售,雨遮不計價2.登記權利人為二人",RPQQMLOLKIOFFEA28CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,17.37,住,,,1060313,土地2建物1車位1,九層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730.0,197.65,3,2,2,有,無,48000000,283924.0,坡道平面,38.1,2700000,"1.本案為預售,雨遮不計價",RPRQMLOLKIOFFEA38CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1051203,土地2建物1車位2,二十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730.0,283.48,3,2,2,有,無,72800000,316963.0,坡道平面,76.2,7100000,"1.本案為預售,雨遮不計價2.二車位未拆分單價",RPSQMLOLKIOFFEA48CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,21.82,住,,,1061115,土地2建物1車位2,十八層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730.0,283.48,3,2,2,有,無,69000000,305384.0,坡道平面,76.2,5700000,"1.本案為預售,雨遮不計價2.二停車位未拆分單價",RPTQMLOLKIOFFEA58CA
士林區,房地(土地+建物)+車位,臺北市士林區中山北路五段691~720號,18.29,住,,,1051203,土地2建物1車位1,二十層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080730.0,206.46,3,2,2,有,無,56880000,316465.0,坡道平面,38.1,3600000,"1.本案為預售,雨遮不計價",RPUQMLOLKIOFFEA68CA
士林區,房地(土地+建物)+車位,臺北市士林區基河路1~30號,58.09,商,,,1080812,土地1建物1車位3,十六層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041104.0,447.44,0,0,0,無,有,79500000,213736.0,坡道平面,96.54,4500000,1.毛胚屋,RPPPMLLMKIOFFEA87CA
大安區,房地(土地+建物)+車位,臺北市大安區敦化南路二段91~120號,7.43,其他,,,1081113,土地3建物2車位1,五層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,741204.0,161.1,3,2,2,有,有,30000000,186220.0,坡道平面,25.42,0,親友、員工或其他特殊關係間之交易。;,RPTNMLLMKIOFFFA18CA
南港區,房地(土地+建物)+車位,臺北市南港區玉成街61~90號,29.33,商,,,1081126,土地1建物1車位2,六層,17.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,931216.0,297.35,4,2,2,有,有,53500000,223987.0,坡道平面,80.82,5000000,,RPSOMLNKJHPFFDA97DA
大安區,房地(土地+建物)+車位,臺北市大安區羅斯福路三段31~60號,14.01,商,,,1081202,土地2建物1車位1,六層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050721.0,182.02,4,1,2,有,有,47315988,259949.0,坡道平面,0.0,0,向政府機關承購之案件。;,RPQNMLQLKIOFFFA38DA
大安區,房地(土地+建物)+車位,臺北市大安區羅斯福路三段31~60號,19.34,商,,,1081202,土地2建物1車位2,十五層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050721.0,257.62,4,2,2,有,有,73999888,287244.0,坡道機械,0.0,0,向政府機關承購之案件。;,RPSNMLQLKIOFFFA58DA
大安區,房地(土地+建物),臺北市大安區建國南路一段291巷1~30號,12.07,住,,,1081106,土地2建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760216.0,82.36,3,2,1,有,有,22120000,268577.0,,0.0,0,,RPSOMLRJJHPFFFA48DA
松山區,房地(土地+建物),臺北市松山區民生東路五段181~210號,5.3,商,,,1081103,土地1建物1車位0,十二層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780629.0,81.17,2,2,1,有,有,17050000,210053.0,,0.0,0,含增建或未登記建物。,RPVOMLQLKIOFFDA78DA
大安區,房地(土地+建物),臺北市大安區忠孝東路三段181~210號,19.58,住,,,1081113,土地2建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760423.0,107.72,3,2,1,有,有,25500000,236725.0,,0.0,0,,RPSNMLLMKIOFFFA08CA
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段91巷1~30號,50.88,其他,,,1081122,土地1建物1車位2,六層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,960621.0,370.62,3,2,4,有,有,129000000,348075.0,坡道平面,65.62,0,,RPRPMLRLKIOFFDA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.26,商,,,1081205,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,132.94,1,1,1,有,有,21580000,205441.0,坡道平面,41.04,2700000,,RPXRMLTJJHPFFCA09CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,8.42,商,,,1081202,土地1建物1車位0,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,91.12,1,1,1,有,有,18750000,205773.0,,0.0,0,,RPXNMLSJJHPFFCA58CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段180巷42弄1~30號,6.93,商,,,1081120,土地1建物1車位0,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,76.82,1,1,1,有,有,16400000,213458.0,,0.0,0,,RPOOMLSJJHPFFCA77CA
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段180巷42弄1~30號,9.54,商,,,1081120,土地1建物1車位1,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070718.0,135.06,1,1,1,有,有,23300000,216443.0,坡道平面,41.04,2950000,,RPPOMLSJJHPFFCA87CA
大同區,房地(土地+建物)+車位,臺北市大同區承德路二段61~90號,20.92,商,,,1081127,土地2建物1車位1,三層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060925.0,247.94,3,2,2,有,有,56880000,255940.0,坡道平面,36.25,2700000,,RPQNMLNJJHPFFBA27CA
大同區,房地(土地+建物)+車位,臺北市大同區雙連街61~90號,15.94,住,,,1080825,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060726.0,168.47,3,2,2,有,有,38300000,265420.0,坡道平面,35.85,3100000,,RPPOMLRLKIOFFBA97CA
