鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物),臺中市西區大業路1~30號,5.33,住,,,1081127,土地1建物1車位0,十三層,十四層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850829,47.89,1,0,1,有,有,2700000,56379,,0.0,0,,RPQOMLNLKIOFFAB67CA
西區,房地(土地+建物),臺中市西區梅川西路一段61~90號,8.37,住,,,1081121,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860714,47.83,1,1,1,有,無,2320000,48505,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVPMLNLKIOFFAB28CA
南區,房地(土地+建物)+車位,臺中市南區五權南一路31~60號,9.11,住,,,1081122,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010528,101.14,2,2,1,有,有,6250000,72230,坡道平面,29.84,1100000,,RPPNMLOLKIOFFAB57CA
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.17,住,,,1081205,土地2建物1車位0,十八層,十九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,28.810000000000002,1,1,1,有,有,1050000,36446,,0.0,0,,RPTNMLOLKIOFFAB97CA
西區,土地,公館段151~180地號,22.0,其他,,,1081210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1455300,66150,,0.0,0,包含公共設施保留地之交易。;,RPSOMLOLKIOFFAB97CA
中區,房地(土地+建物),臺中市中區中山路175巷1~30號,86.0,住,,,1081205,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,0570220,282.25,5,2,3,有,無,18000000,63773,,0.0,0,,RPTOMLOLKIOFFAB08CA
西區,土地,公館段61~90地號,10.95,其他,,,1081208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,567280,51806,,0.0,0,包含公共設施保留地之交易。;,RPPPMLOLKIOFFAB77CA
南區,房地(土地+建物),臺中市南區學府路181~210號,2.23,住,,,1081202,土地2建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831207,28.72,1,1,1,有,有,1400000,48747,,0.0,0,,RPRQMLOLKIOFFAB08CA
南區,房地(土地+建物),臺中市南區永和街151~180號,33.56,住,,,1081114,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691230,92.2,3,2,2,有,無,1600000,17354,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLPLKIOFFAB77CA
