鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路61~90號,24.17,住,,,1081128,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940202,167.82999999999998,4,2,2,有,有,9900000,58988,坡道平面,0.0,0,,RPUNMLOLKIOFFAE38CA
鹽埕區,房地(土地+建物),高雄市鹽埕區北端街1~30號,59.61,住,,,1081028,土地6建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0650519,65.94,3,1,1,有,無,2000000,30331,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPLKIOFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區大順一路1021~1050號,4.78,住,,,1081028,土地1建物1車位0,五層,二十七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840707,54.839999999999996,1,1,1,有,有,2700000,49234,,0.0,0,,RPVNMLPLKIOFFAE58CA
前金區,房地(土地+建物),高雄市前金區市中一路91~120號,5.69,商,,,1081216,土地1建物1車位0,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,70.59,2,2,1,有,有,4300000,60915,,0.0,0,,RPPNMLOLKIOFFAE87CA
前金區,房地(土地+建物)+車位,高雄市前金區中山橫路121~150號,17.84,商,,,1081117,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980217,206.85,4,2,2,有,有,12800000,59289,坡道機械,9.51,1100000,,RPSNMLOLKIOFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區龍德路255巷1~30號,32.22,住,,,1081130,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760513,115.19,3,2,2,有,有,3300000,28648,,0.0,0,,RPOOMLQLKIOFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華榮路211~240號,10.07,商,,,1081025,土地1建物1車位1,三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790420,217.45999999999998,4,2,2,有,有,8180000,37616,坡道平面,0.0,0,,RPSPMLLMKIOFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區明倫路91~120號,32.77,住,,,1081130,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0710814,129.76,3,1,3,有,無,16470000,126927,,0.0,0,,RPSNMLNJJHPFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區文信路211~240號,13.86,商,,,1081120,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851002,132.7,3,2,2,有,有,5100000,38433,升降機械,0.0,0,,RPWNMLNJJHPFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路121~150號,7.16,商,,,1081112,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020527,83.64,2,2,1,有,有,5100000,60976,,0.0,0,,RPROMLNJJHPFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1801~1830號,18.71,商,,,1081015,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030613,284.1,4,2,3,有,有,19680000,69271,坡道平面,17.98,0,,RPOOMLKKJHPFFAE27CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓峰里九如四路2014巷31~60號,17.58,住,,,1081203,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710318,73.59,3,2,1,有,無,2200000,29895,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLOKJHPFFAE77CA
新興區,房地(土地+建物),高雄市新興區南華路181~210號,3.16,商,,,1081129,土地1建物1車位0,七層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940803,37.27,1,1,1,有,有,2400000,64395,,0.0,0,,RPQOMLOLKIOFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區青年一路1~30號,21.65,商,,,1081112,土地1建物1車位0,一層，騎樓,七層,店面(店鋪),,鋼筋混凝土造,0741005,96.37,0,0,0,無,無,13200000,136972,,0.0,0,含增建或未登記建物。;,RPROMLOLKIOFFBE28CA
苓雅區,房地(土地+建物),高雄市苓雅區漢昌街7巷31~60號,95.0,住,,,1081206,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0640226,132.39,0,0,0,無,無,7500000,56651,,0.0,0,出賣人不負任何結構、漏水、排水等等重大瑕疵責任。,RPPNMLOLKIOFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區四維二路120巷1~30號,61.0,住,,,1081123,土地1建物1車位0,全,四層,透天厝,,鋼筋混凝土造,0770516,224.36,4,3,3,有,無,13800000,61508,,0.0,0,含增建或未登記建物。;,RPUNMLOLKIOFFBE48CA
苓雅區,房地(土地+建物),高雄市苓雅區中東街151~180號,67.0,住,,,1081122,土地1建物1車位0,全,三層,透天厝,,加強磚造,0601111,146.94,5,2,3,有,無,15140000,103035,,0.0,0,,RPPOMLQLKIOFFBE28CA
新興區,房地(土地+建物),高雄市新興區中正三路31~60號,12.89,商,,,1081006,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),,鋼筋混凝土造,0691023,114.77000000000001,3,1,1,有,無,6800000,59249,,0.0,0,,RPSNMLTLKIOFFBE78CA
新興區,房地(土地+建物),高雄市新興區八德一路181~210號,4.03,商,,,1081212,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0700509,33.93,1,1,1,有,有,780000,22989,,0.0,0,,RPQNMLKMKIOFFBE77CA
苓雅區,房地(土地+建物),高雄市苓雅區宜昌街1~30號,24.5,住,,,1081101,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680116,62.58,3,2,2,有,無,2700000,43145,,0.0,0,,RPUNMLMJJHPFFBE97CA
